Date,AAPL,ABBV,ABNB,ABT,ACN,ADBE,ADI,ADP,AMAT,AMD,AMGN,AMZN,ANET,AON,AVGO,AXP,AZO,BAC,BDX,BKNG,BLK,BMY,BRK-B,BSX,BX,C,CB,CHTR,CI,CMCSA,CME,CMG,CPNG,CRM,CSCO,CVS,DASH,DHI,DHR,DIS,EA,ELV,F,FI,FLUT,FOXA,FWONA,GILD,GM,GOOG,GS,GSAT,HCA,HD,HLT,IBKR,IBM,ICE,INTU,ISRG,JNJ,JPM,KKR,KLAC,LLY,LOW,LRCX,LULU,LYV,MA,MAR,MCD,MCK,MCO,MDT,MELI,META,MMC,MRK,MS,MSFT,MU,NFLX,NKE,NOW,NVDA,NWSA,OMC,ORCL,ORLY,PFE,PGR,PINS,PLTR,QCOM,RBLX,RCL,RDDT,REGN,ROST,RY,SBUX,SCHW,SPGI,SPOT,SYK,T,TD,TJX,TMO,TMUS,TSLA,TTWO,TXN,UBER,UNH,V,VRTX,VZ,WBD,WFC,WMG,YUM,ZG,ZTS,^DJI,^GSPC,^IXIC
2023-03-31,163.25363159179688,147.79075622558594,124.4000015258789,97.26194763183594,278.0215759277344,385.3699951171875,190.36358642578125,214.2123260498047,120.76365661621094,98.01000213623047,226.96517944335938,103.29000091552734,41.96500015258789,310.86590576171875,62.33819580078125,160.8013458251953,2458.14990234375,27.2235164642334,240.7203369140625,2629.09912109375,639.8017578125,63.50665283203125,308.7699890136719,50.029998779296875,82.75663757324219,43.337181091308594,189.2486572265625,357.6099853515625,246.7315216064453,35.73127746582031,175.57704162597656,34.16579818725586,16.0,198.6703338623047,49.18341827392578,68.69915771484375,63.560001373291016,95.96265411376953,221.72113037109375,98.90812683105469,119.11956787109375,449.3720703125,10.970163345336914,113.02999877929688,181.60000610351562,33.09738540649414,66.30648040771484,77.47882843017578,36.00154495239258,103.62765502929688,310.24041748046875,17.399999618530273,259.8926696777344,282.294921875,139.9864959716797,81.65116882324219,121.20329284667969,101.88678741455078,440.1287841796875,255.47000122070312,145.7010498046875,123.86013793945312,51.68477249145508,391.288330078125,338.37060546875,192.3653106689453,48.25905227661133,364.19000244140625,70.0,359.1822204589844,162.70626831054688,266.9507141113281,352.49755859375,300.93548583984375,76.05662536621094,1318.06005859375,211.13348388671875,161.76727294921875,101.44478607177734,81.66905975341797,283.78643798828125,59.66995620727539,345.4800109863281,118.77139282226562,464.7200012207031,27.761526107788086,17.0580997467041,89.30770874023438,90.54025268554688,848.97998046875,36.51483154296875,139.1661376953125,27.270000457763672,8.449999809265137,121.9391098022461,44.97999954223633,64.9970474243164,,820.6154174804688,104.19584655761719,90.0003890991211,99.35638427734375,50.74608612060547,339.0987243652344,133.6199951171875,280.6075134277344,17.015684127807617,54.24604415893555,76.15544891357422,573.6426391601562,141.6405487060547,207.4600067138672,119.30000305175781,175.30789184570312,31.700000762939453,460.03619384765625,222.04806518554688,315.07000732421875,33.89897918701172,15.100000381469727,35.36296081542969,31.941465377807617,127.09564971923828,43.70000076293945,163.20831298828125,33274.1484375,4109.31005859375,12221.91015625
2023-04-03,164.51095581054688,148.76449584960938,121.45999908447266,97.57893371582031,278.0508117675781,380.0799865722656,189.4562530517578,208.61236572265625,120.2622299194336,96.55999755859375,229.49070739746094,102.41000366210938,41.935001373291016,312.6307373046875,62.42856979370117,159.6608123779297,2511.5400390625,27.214000701904297,240.14659118652344,2641.766845703125,637.21044921875,63.85483932495117,310.30999755859375,49.720001220703125,80.04331970214844,43.17081832885742,191.6851806640625,356.2099914550781,252.978759765625,35.825531005859375,174.46774291992188,34.35459899902344,16.06999969482422,195.39862060546875,49.21164321899414,70.34475708007812,63.939998626708984,96.38504791259766,220.00572204589844,98.54264068603516,120.00963592529297,465.67340087890625,11.039814949035645,112.83000183105469,180.0,33.2237548828125,64.8330078125,77.73095703125,35.599124908447266,104.5344009399414,309.6808776855469,17.100000381469727,260.36578369140625,284.79150390625,138.69464111328125,81.52259063720703,122.10014343261719,102.99073791503906,435.0348205566406,253.52999877929688,147.44007873535156,123.71754455566406,51.10416030883789,391.11181640625,345.5829162597656,196.2324676513672,47.475242614746094,367.3999938964844,69.30999755859375,362.2065734863281,161.15802001953125,269.3661804199219,360.1405944824219,299.2440185546875,75.16040802001953,1313.6400146484375,212.25918579101562,163.78753662109375,103.80950927734375,81.0737533569336,282.7332458496094,58.948062896728516,348.2799987792969,117.83199310302734,464.489990234375,27.949419021606445,17.206260681152344,90.12183380126953,91.51464080810547,867.9500122070312,37.00706481933594,141.15060424804688,27.75,8.380000114440918,119.22467041015625,46.41999816894531,63.9519157409668,,825.129638671875,106.65027618408203,91.8836441040039,100.04337310791016,49.96135330200195,340.57403564453125,136.44000244140625,282.6618957519531,17.13943099975586,55.79463577270508,76.64139556884766,567.3724365234375,143.51812744140625,194.77000427246094,118.69000244140625,173.5643310546875,31.459999084472656,481.0624084472656,225.5345001220703,316.3299865722656,34.1866340637207,14.8100004196167,35.684608459472656,32.12333297729492,128.18299865722656,43.95000076293945,164.4046173095703,33601.1484375,4124.509765625,12189.4501953125
2023-04-04,163.97634887695312,148.1709747314453,118.45999908447266,98.74116516113281,278.0508117675781,385.1499938964844,188.33657836914062,205.94708251953125,118.0992431640625,95.87000274658203,232.39170837402344,103.94999694824219,41.685001373291016,314.3759765625,61.6453857421875,158.4714813232422,2502.050048828125,26.63335609436035,241.41078186035156,2615.142822265625,630.2302856445312,63.1401481628418,309.07000732421875,50.06999969482422,76.50090789794922,42.59779739379883,190.4961700439453,348.1199951171875,247.70677185058594,35.87302017211914,176.97048950195312,34.696800231933594,16.309999465942383,196.1046600341797,49.11685562133789,70.49267578125,63.34000015258789,95.6875991821289,219.02923583984375,98.35496520996094,123.8566665649414,464.637451171875,11.074641227722168,111.58999633789062,181.156005859375,32.92242431640625,64.02750396728516,76.6850814819336,35.07893371582031,104.74365234375,306.0104675292969,17.100000381469727,263.39166259765625,282.141845703125,138.1282196044922,80.04901123046875,121.67483520507812,103.59645080566406,434.1858215332031,254.7100067138672,148.98167419433594,122.06366729736328,50.19878387451172,385.0931091308594,349.4059143066406,195.2801055908203,45.907630920410156,366.79998779296875,69.38999938964844,359.6664733886719,161.0796356201172,269.4998474121094,359.36834716796875,298.8900451660156,74.97171783447266,1301.9000244140625,213.90289306640625,163.4756317138672,103.77136993408203,78.89714813232422,282.6839904785156,56.63405227661133,346.75,119.78826904296875,476.04998779296875,27.437705993652344,17.107486724853516,89.73371124267578,91.59258270263672,864.4400024414062,36.60433578491211,140.35292053222656,27.979999542236328,8.350000381469727,116.8925552368164,46.290000915527344,63.50400161743164,,821.0349731445312,106.55211639404297,91.35633087158203,99.23234558105469,48.44032287597656,340.7117614746094,134.8800048828125,282.20977783203125,17.360414505004883,54.82563018798828,76.42757415771484,573.4534912109375,143.0780487060547,192.5800018310547,121.63999938964844,170.02066040039062,31.389999389648438,480.14739990234375,224.2147674560547,314.4200134277344,34.56145477294922,15.149999618530273,34.82371520996094,31.721309661865234,126.63375091552734,43.29999923706055,163.8260955810547,33402.37890625,4100.60009765625,12126.330078125
2023-04-05,162.125,149.11688232421875,115.33999633789062,100.0954818725586,273.6636657714844,382.0199890136719,183.751708984375,205.1099853515625,115.34634399414062,92.55999755859375,237.8745574951172,101.0999984741211,40.71500015258789,317.0479431152344,61.12066650390625,157.61044311523438,2494.43994140625,26.309720993041992,244.736572265625,2592.61279296875,627.2947998046875,63.97394561767578,310.3900146484375,50.7400016784668,76.6987533569336,42.30204391479492,191.01271057128906,353.1199951171875,256.72515869140625,36.01548385620117,178.94151306152344,33.94839859008789,15.640000343322754,194.2251739501953,49.11685562133789,71.8794174194336,60.86000061035156,95.66795349121094,217.90322875976562,98.69081115722656,124.75662231445312,473.6872863769531,10.822152137756348,112.33999633789062,178.5,32.79606628417969,64.45972442626953,78.11383056640625,34.440956115722656,104.57424926757812,304.9482116699219,16.799999237060547,267.4130859375,276.1252136230469,138.61514282226562,79.16880798339844,122.17411041259766,103.7723159790039,433.5342712402344,257.989990234375,155.67453002929688,122.24568939208984,49.01787567138672,374.07501220703125,356.9139099121094,191.8458709716797,44.923553466796875,364.80999755859375,68.80000305175781,360.12188720703125,159.29615783691406,269.2515869140625,369.44677734375,297.8181457519531,75.72643280029297,1250.050048828125,210.6752166748047,163.94346618652344,106.70820617675781,77.96696472167969,279.88848876953125,56.3868293762207,342.3500061035156,117.0862808227539,467.3299865722656,26.86602210998535,17.107486724853516,88.6545181274414,92.45978546142578,858.3499755859375,37.18606185913086,142.543212890625,27.329999923706055,7.980000019073486,117.5998306274414,45.38999938964844,61.7024040222168,,824.160888671875,104.51982879638672,91.215087890625,100.0910873413086,47.34556579589844,338.9315490722656,131.25,283.1239318847656,17.572561264038086,54.05034255981445,75.84446716308594,577.1161499023438,145.82598876953125,185.52000427246094,120.9800033569336,167.0047607421875,31.1200008392334,495.7028503417969,224.71705627441406,321.94000244140625,34.9624137878418,14.789999961853027,34.89939880371094,30.476964950561523,126.96090698242188,42.810001373291016,164.394775390625,33482.71875,4090.3798828125,11996.8603515625
2023-04-06,163.0160675048828,149.8123779296875,109.69000244140625,100.78705596923828,274.02362060546875,380.6000061035156,180.6629638671875,207.93881225585938,112.52462768554688,92.47000122070312,237.82762145996094,102.05999755859375,39.962501525878906,317.5310974121094,60.50168991088867,155.40892028808594,2530.679931640625,26.50009536743164,247.6733856201172,2561.141845703125,627.6390380859375,65.35042572021484,312.510009765625,50.08000183105469,77.4336166381836,42.38521957397461,191.80210876464844,350.2699890136719,256.1554870605469,35.79703903198242,178.85902404785156,33.704200744628906,15.739999771118164,191.4805145263672,48.59555435180664,71.68526458740234,60.68000030517578,93.94889068603516,217.2522735595703,98.75007629394531,123.77757263183594,472.5633850097656,10.735089302062988,113.01000213623047,183.25,32.51417541503906,65.81532287597656,77.85235595703125,33.95020294189453,108.51011657714844,305.7733459472656,16.049999237060547,266.70343017578125,276.0678405761719,139.7479705810547,78.52595520019531,120.65779876708984,105.75553131103516,441.8316955566406,256.8999938964844,155.24212646484375,122.111572265625,48.52582550048828,367.2622375488281,362.8749084472656,191.0185546875,44.95177459716797,364.3299865722656,69.12999725341797,357.8252258300781,159.7763214111328,270.0822448730469,366.39752197265625,293.658447265625,75.75474548339844,1245.0,215.2776641845703,165.09361267089844,107.10868835449219,78.31112670898438,287.0348205566406,58.026756286621094,339.3299865722656,116.42771911621094,473.1300048828125,27.021940231323242,17.0580997467041,88.08653259277344,93.46340942382812,861.1300048828125,37.141319274902344,143.38037109375,28.25,8.09000015258789,117.56160736083984,46.20000076293945,60.99569320678711,,827.6663818359375,104.28419494628906,91.17742919921875,99.88117980957031,47.81060028076172,335.25299072265625,132.47999572753906,282.7798767089844,17.61559295654297,54.1328239440918,75.85417938232422,572.6273803710938,146.30516052246094,185.05999755859375,119.0,167.87184143066406,31.18000030517578,499.187744140625,222.57005310058594,321.6600036621094,34.98279571533203,15.109999656677246,35.85490036010742,30.18980598449707,127.11488342285156,43.91999816894531,165.65975952148438,33485.2890625,4105.02001953125,12087.9599609375
2023-04-10,160.4122772216797,149.56198120117188,112.5999984741211,99.60562133789062,274.00408935546875,376.25,184.31153869628906,206.12030029296875,114.5401382446289,95.4800033569336,235.5555877685547,102.16999816894531,40.782501220703125,315.46051025390625,60.96324157714844,157.6691436767578,2554.43994140625,26.59528160095215,246.54531860351562,2549.9609375,630.9092407226562,64.92548370361328,312.6199951171875,50.34000015258789,76.86833190917969,42.99522018432617,191.05166625976562,353.8900146484375,254.04090881347656,36.30991744995117,176.69546508789062,33.831199645996094,15.600000381469727,190.42640686035156,48.65242004394531,70.29853057861328,61.58000183105469,94.51864624023438,219.52188110351562,99.57981872558594,124.23248291015625,473.9218444824219,11.074641227722168,113.70999908447266,181.4250030517578,32.98074722290039,66.12966918945312,77.13331604003906,35.06911849975586,106.56709289550781,308.2013244628906,15.75,267.0976257324219,278.51654052734375,140.11566162109375,79.1786880493164,121.14781951904297,103.92862701416016,439.814208984375,258.94000244140625,154.46194458007812,122.51390075683594,49.598487854003906,375.1141052246094,361.6038818359375,192.18255615234375,46.196205139160156,363.3699951171875,69.7300033569336,356.5086975097656,159.5215301513672,270.9319152832031,367.0707092285156,290.74761962890625,75.69813537597656,1251.6199951171875,213.9327850341797,163.87525939941406,107.37567138671875,78.13439178466797,284.85943603515625,62.693870544433594,338.989990234375,118.06441497802734,472.6400146484375,27.56363296508789,17.186504364013672,88.23799133300781,91.7413101196289,869.75,37.3471565246582,145.04498291015625,27.940000534057617,8.390000343322754,118.79457092285156,46.43000030517578,62.060733795166016,,822.7028198242188,104.6965560913086,91.45049285888672,99.93841552734375,50.10667419433594,333.25640869140625,132.25,283.3303527832031,17.543874740600586,54.32526397705078,76.17488861083984,571.64208984375,146.67677307128906,184.50999450683594,121.04000091552734,169.09703063964844,31.739999771118164,501.4947814941406,223.0033721923828,323.239990234375,34.86759948730469,15.399999618530273,36.545501708984375,30.744976043701172,126.15262603759766,44.06999969482422,167.5522918701172,33586.51953125,4109.10986328125,12084.3603515625
2023-04-11,159.19456481933594,149.6547393798828,114.25,99.21179962158203,278.52740478515625,371.1099853515625,182.8250732421875,207.07286071777344,114.42215728759766,94.02999877929688,236.05319213867188,99.91999816894531,39.90250015258789,316.39715576171875,60.39772033691406,158.3443145751953,2559.5400390625,27.328224182128906,246.01048278808594,2543.914306640625,640.337158203125,64.69451141357422,313.70001220703125,50.72999954223633,78.57359313964844,43.623695373535156,193.04962158203125,358.5199890136719,257.3045654296875,36.452388763427734,175.63206481933594,34.28120040893555,15.449999809265137,187.84083557128906,47.97945022583008,70.52965545654297,62.91999816894531,98.00586700439453,219.82101440429688,99.19458770751953,124.29181671142578,478.5639953613281,11.20523738861084,114.83000183105469,186.75,33.23347091674805,64.87229919433594,77.07728576660156,34.755035400390625,105.74007415771484,310.48699951171875,16.200000762939453,267.68902587890625,281.0035705566406,140.8609619140625,79.3962631225586,120.58383178710938,103.68438720703125,432.6737976074219,262.7699890136719,154.41494750976562,123.11743927001953,50.680999755859375,370.44805908203125,358.68743896484375,193.6832275390625,46.20076370239258,365.80999755859375,70.18000030517578,360.4584045410156,160.58966064453125,271.6002197265625,362.51666259765625,294.34686279296875,76.41511535644531,1285.06005859375,213.03622436523438,164.91818237304688,107.26124572753906,79.14827728271484,278.4020690917969,62.99113464355469,338.2099914550781,119.41058349609375,469.82000732421875,27.153865814208984,17.384050369262695,88.57878875732422,91.94678497314453,871.0399780273438,37.400856018066406,144.67506408691406,28.190000534057617,8.609999656677246,118.10639953613281,46.060001373291016,63.14567565917969,,818.5880737304688,103.21407318115234,92.14728546142578,100.892578125,50.09697723388672,336.2857666015625,131.27999877929688,285.5813293457031,17.65144920349121,55.38831329345703,76.1360092163086,573.652587890625,146.6376495361328,186.7899932861328,120.38999938964844,169.52114868164062,31.1200008392334,507.1310119628906,224.99281311035156,324.8299865722656,34.95621109008789,14.930000305175781,37.245574951171875,30.610971450805664,126.60488891601562,43.810001373291016,167.88568115234375,33684.7890625,4108.93994140625,12031.8798828125
2023-04-12,158.50155639648438,150.56353759765625,112.41999816894531,98.51063537597656,277.1114196777344,369.8900146484375,180.77880859375,207.45773315429688,111.25634002685547,92.33000183105469,234.24124145507812,97.83000183105469,40.352500915527344,317.2451477050781,59.924503326416016,155.8590087890625,2598.889892578125,27.10929298400879,246.85650634765625,2524.863525390625,636.7897338867188,64.86080932617188,314.54998779296875,51.11000061035156,77.82931518554688,43.364906311035156,194.17042541503906,343.2799987792969,251.79115295410156,35.74955368041992,175.77870178222656,33.915401458740234,15.130000114440918,189.26290893554688,47.496063232421875,69.26309204101562,60.099998474121094,97.11196899414062,219.90017700195312,96.74485778808594,124.73683166503906,481.79888916015625,11.031108856201172,114.48999786376953,186.2550048828125,32.78634262084961,65.12770080566406,76.7224349975586,33.979652404785156,104.8432846069336,313.2089538574219,16.200000762939453,268.46771240234375,277.81829833984375,137.49221801757812,80.49405670166016,118.84561157226562,104.62224578857422,430.2904052734375,261.7699890136719,154.0859375,123.09825897216797,50.474334716796875,362.83148193359375,363.6236877441406,192.17294311523438,45.2503662109375,363.5400085449219,69.9000015258789,358.13214111328125,158.22804260253906,272.383056640625,358.942626953125,293.2257995605469,76.23587799072266,1256.0400390625,213.18563842773438,165.77590942382812,108.46268463134766,79.50176239013672,279.05181884765625,61.39579772949219,331.0299987792969,119.75921630859375,471.42999267578125,26.48023796081543,17.087732315063477,88.59772491455078,91.87828826904297,877.3499755859375,37.02497482299805,144.21751403808594,27.739999771118164,8.329999923706055,114.95230865478516,45.20000076293945,61.294307708740234,,819.3770751953125,101.014892578125,92.37328338623047,100.75900268554688,50.30043029785156,337.1512756347656,130.9199981689453,285.1586608886719,17.723169326782227,54.88427734375,74.54214477539062,576.6085205078125,146.20736694335938,180.5399932861328,119.68000030517578,167.3346405029297,30.59000015258789,507.34515380859375,224.3625030517578,326.3699951171875,34.73469161987305,14.0600004196167,37.075286865234375,30.304668426513672,126.99938201904297,44.75,168.12100219726562,33646.5,4091.949951171875,11929.33984375
2023-04-13,163.90704345703125,152.2574462890625,113.94999694824219,100.01652526855469,278.58599853515625,378.79998779296875,182.52586364746094,209.03575134277344,111.56111907958984,92.08999633789062,236.06259155273438,102.4000015258789,41.1974983215332,320.4297790527344,60.65716552734375,158.80418395996094,2618.64990234375,27.185440063476562,249.23899841308594,2606.51953125,641.3411254882812,65.30424499511719,318.04998779296875,51.5,79.43092346191406,43.71611785888672,195.0377960205078,347.6300048828125,254.7264404296875,36.13896179199219,174.11936950683594,34.3577995300293,15.579999923706055,192.9423370361328,48.150062561035156,69.72534942626953,61.45000076293945,96.2475357055664,223.8060760498047,99.60945892333984,126.86309051513672,484.93603515625,10.848271369934082,115.72000122070312,190.0,32.99046325683594,65.70726776123047,77.75897216796875,33.89130783081055,107.80265808105469,315.0015563964844,15.899999618530273,269.48291015625,279.4540100097656,141.51683044433594,81.13688659667969,118.2538833618164,105.03258514404297,436.936279296875,266.55999755859375,156.14456176757812,123.56767272949219,51.17304229736328,366.99755859375,369.6340026855469,193.80828857421875,45.36688995361328,364.3800048828125,70.54000091552734,365.92279052734375,162.1771240234375,275.982421875,360.6850891113281,298.8507385253906,76.97171020507812,1296.1199951171875,219.511474609375,168.0371856689453,110.2076187133789,79.7063980102539,285.3023681640625,62.42633056640625,346.19000244140625,122.44184112548828,483.5,26.448251724243164,17.403806686401367,89.37398529052734,93.49276733398438,887.9500122070312,37.114471435546875,134.5413818359375,28.459999084472656,8.579999923706055,115.7742919921875,45.70000076293945,61.622772216796875,,829.2843017578125,102.29120635986328,93.267822265625,102.08526611328125,49.88385009765625,342.1477355957031,134.9600067138672,286.6429138183594,17.89349365234375,55.55326461791992,75.02808380126953,588.3328247070312,147.04837036132812,185.89999389648438,122.01000213623047,168.80490112304688,31.440000534057617,512.2512817382812,229.1686553955078,333.3500061035156,34.84101486206055,14.039999961853027,37.51991653442383,30.476964950561523,129.57827758789062,44.93000030517578,170.1704559326172,34029.69140625,4146.22021484375,12166.26953125
2023-04-14,163.56053161621094,151.22799682617188,114.6500015258789,100.35437774658203,272.70703125,379.3800048828125,181.9563751220703,207.54434204101562,111.0007095336914,91.75,234.7106475830078,102.51000213623047,40.900001525878906,319.9269714355469,60.200469970703125,159.70433044433594,2638.320068359375,28.099239349365234,248.46104431152344,2626.572021484375,661.03857421875,65.08251190185547,319.739990234375,51.77000045776367,80.38247680664062,45.804874420166016,190.80804443359375,341.5,250.17861938476562,36.05348205566406,174.62362670898438,34.76599884033203,16.030000686645508,193.56883239746094,47.903629302978516,69.0597152709961,61.720001220703125,96.51277160644531,221.3956756591797,98.6809310913086,126.4576187133789,473.4624938964844,10.900511741638184,115.58999633789062,182.07000732421875,32.47528839111328,65.50098419189453,77.50684356689453,33.852054595947266,109.06809997558594,319.54449462890625,15.449999809265137,269.42376708984375,279.4922180175781,143.40489196777344,82.28411865234375,118.47578430175781,105.03258514404297,436.7484436035156,267.0199890136719,155.89073181152344,132.89822387695312,51.084476470947266,367.634765625,369.2202453613281,194.49130249023438,45.59356689453125,368.25,68.95999908447266,368.67474365234375,164.72494506835938,275.8965148925781,358.3882751464844,297.2969665527344,76.14152526855469,1301.8800048828125,220.6471405029297,168.79745483398438,109.9501724243164,80.65516662597656,281.6603088378906,62.05970001220703,338.6300048828125,121.97697448730469,463.0299987792969,26.743093490600586,17.186504364013672,89.94197845458984,93.64932250976562,892.27001953125,36.86387252807617,132.2440643310547,28.579999923706055,8.8100004196167,114.84717559814453,45.70000076293945,61.66259002685547,,828.265625,102.69373321533203,93.56913757324219,102.54326629638672,49.186309814453125,342.13787841796875,134.74000549316406,286.7903747558594,17.866601943969727,55.74571990966797,75.01836395263672,586.0537109375,146.28558349609375,185.0,123.06999969482422,168.682373046875,31.479999542236328,498.19488525390625,230.47853088378906,333.5199890136719,34.752410888671875,13.779999732971191,37.501007080078125,30.017513275146484,129.78997802734375,44.68000030517578,171.2098846435547,33886.46875,4137.64013671875,12123.4697265625
2023-04-17,163.580322265625,150.84429931640625,116.16999816894531,100.89495086669922,273.41998291015625,377.9200134277344,182.97952270507812,209.9113311767578,109.90937042236328,89.87000274658203,232.89869689941406,102.73999786376953,40.85499954223633,325.1821594238281,60.96033477783203,160.18380737304688,2665.409912109375,28.9083309173584,249.2195587158203,2652.531494140625,667.760498046875,65.22108459472656,323.7900085449219,51.7400016784668,82.18196105957031,45.92502975463867,193.17633056640625,346.19000244140625,249.76344299316406,36.17694854736328,176.12709045410156,35.5,16.239999771118164,195.98533630371094,47.65718460083008,70.07666015625,60.619998931884766,97.72100830078125,224.98486328125,99.0760498046875,126.66529846191406,473.2767639160156,11.039814949035645,117.11000061035156,187.0,33.03907012939453,65.21611022949219,78.09513854980469,34.490028381347656,106.03898620605469,322.1622009277344,15.449999809265137,267.2060852050781,282.5627136230469,144.23963928222656,82.86763000488281,118.17991638183594,105.50152587890625,435.2351989746094,268.8900146484375,155.73092651367188,133.95199584960938,51.48796081542969,364.7625427246094,366.8752136230469,197.2040557861328,44.84890365600586,368.3800048828125,68.43000030517578,369.0014343261719,166.34178161621094,276.2115478515625,359.6554260253906,298.3197021484375,77.47171783447266,1314.739990234375,218.02716064453125,169.7624053955078,109.66411590576172,83.05501556396484,284.2786865234375,61.97051239013672,332.7200012207031,122.20941925048828,470.54998779296875,26.986957550048828,17.107486724853516,90.60464477539062,93.53191375732422,897.280029296875,36.85493087768555,134.736083984375,28.6200008392334,8.800000190734863,114.10166931152344,40.209999084472656,62.866973876953125,,818.6879272460938,102.28138732910156,93.90812683105469,103.34476470947266,51.123924255371094,343.2690124511719,133.77999877929688,287.7929992675781,17.741098403930664,56.11228561401367,75.42655944824219,585.8147583007812,147.1657257080078,187.0399932861328,124.37999725341797,169.6907958984375,32.08000183105469,491.9259338378906,229.9467010498047,327.739990234375,34.96507263183594,14.529999732971191,39.07142639160156,29.739925384521484,131.9261932373047,44.560001373291016,171.22946166992188,33987.1796875,4151.31982421875,12157.7197265625
2023-04-18,164.80796813964844,149.35623168945312,119.19000244140625,100.53780364990234,273.40045166015625,377.54998779296875,182.9891815185547,209.10308837890625,109.39813232421875,89.77999877929688,231.03977966308594,102.30000305175781,40.67250061035156,327.2132873535156,61.442291259765625,160.8589324951172,2681.64990234375,29.089183807373047,246.60366821289062,2672.97998046875,663.6202392578125,64.87928771972656,324.6300048828125,51.61000061035156,86.20484161376953,46.285484313964844,196.56793212890625,343.32000732421875,250.74832153320312,36.3479118347168,175.44871520996094,35.56919860839844,15.869999885559082,197.39744567871094,47.685630798339844,70.39098358154297,62.38999938964844,100.3732681274414,225.32794189453125,99.69835662841797,127.61468505859375,472.11383056640625,11.08334732055664,117.11000061035156,192.5399932861328,33.04878616333008,65.92337799072266,78.23521423339844,34.676513671875,104.74365234375,316.68975830078125,14.850000381469727,267.551025390625,285.9584655761719,146.09791564941406,83.80716705322266,118.14292907714844,105.01304626464844,437.7076721191406,269.2799987792969,151.35049438476562,135.45599365234375,52.18666458129883,363.88031005859375,364.4710998535156,200.18617248535156,45.095603942871094,372.5,67.70999908447266,368.56585693359375,170.17332458496094,277.7391052246094,356.66558837890625,300.2569580078125,77.02833557128906,1321.469970703125,217.0608367919922,170.4641876220703,109.49247741699219,83.5759048461914,283.8553771972656,61.36606979370117,333.70001220703125,122.2287826538086,475.989990234375,27.651586532592773,17.0580997467041,91.0116958618164,94.3929672241211,909.9199829101562,36.29109191894531,134.9210205078125,28.18000030517578,8.729999542236328,113.12677001953125,40.810001373291016,64.15099334716797,,806.9730224609375,101.8003158569336,94.426025390625,102.96310424804688,52.3155517578125,346.37701416015625,134.57000732421875,285.9647216796875,17.767990112304688,56.98287582397461,75.57232666015625,582.0924682617188,146.9994659423828,184.30999755859375,124.30999755859375,169.9452667236328,31.729999542236328,491.0790710449219,230.06488037109375,325.1499938964844,34.504302978515625,14.270000457763672,39.61066436767578,29.404911041259766,132.3880615234375,44.439998626708984,171.06277465820312,33976.62890625,4154.8701171875,12153.41015625
2023-04-19,165.95640563964844,150.87237548828125,120.0999984741211,108.3954849243164,273.3418273925781,380.1099853515625,181.99497985839844,208.83367919921875,108.48377227783203,89.94000244140625,231.15245056152344,104.30000305175781,39.522499084472656,324.4525451660156,61.65412139892578,161.39706420898438,2663.159912109375,28.613250732421875,251.71878051757812,2652.75927734375,664.7772216796875,64.53748321533203,323.0899963378906,52.88999938964844,87.19407653808594,46.581233978271484,199.3065643310547,343.6700134277344,247.2819061279297,36.328914642333984,176.26461791992188,36.099998474121094,15.899999618530273,197.81512451171875,45.53404235839844,68.60669708251953,61.72999954223633,100.05891418457031,224.1139678955078,97.54496002197266,126.7641830444336,446.9483642578125,10.639318466186523,117.08000183105469,195.25,32.89326858520508,65.40274810791016,78.54338073730469,33.94038772583008,104.64400482177734,319.5160827636719,14.699999809265137,269.0689392089844,284.00714111328125,146.06809997558594,83.17420959472656,116.79304504394531,105.84346008300781,440.57568359375,298.57000732421875,152.77931213378906,135.2835693359375,53.06250762939453,354.1268310546875,365.02288818359375,200.8883819580078,44.699607849121094,370.1199951171875,67.75,369.041015625,170.2222900390625,278.082763671875,352.0025634765625,298.10333251953125,80.06607055664062,1308.2900390625,214.87918090820312,169.1678466796875,108.82501220703125,84.1340103149414,283.9341125488281,60.09773254394531,323.1199951171875,121.705810546875,475.5899963378906,27.915437698364258,17.186504364013672,87.24401092529297,93.74717712402344,899.1400146484375,36.013648986816406,135.22279357910156,28.219999313354492,8.489999771118164,113.2988052368164,41.09000015258789,64.17089080810547,,807.8218994140625,102.35992431640625,94.2753677368164,102.24748229980469,53.817203521728516,346.2392883300781,133.55999755859375,294.2118225097656,17.66041374206543,56.93706130981445,75.81529998779297,577.17578125,145.49349975585938,180.58999633789062,123.3499984741211,166.8916778564453,32.040000915527344,473.2846374511719,229.0504913330078,328.45001220703125,34.20303726196289,14.289999961853027,39.96070861816406,29.43362808227539,131.94540405273438,44.72999954223633,171.58248901367188,33897.01171875,4154.52001953125,12157.23046875
